accx,accy,accz,gyrox,gyroy,gyroz,light,magx,magy,magz,orientx,orienty,orientz,proximity,atmosphere,sound,loclat,loclon,localt,locspeed,locacc,temp,level,voltage,time
0.6333, 1.7645, 9.7441, 0.1279, -0.1769, 0.0171, 15.0442, -22.5, -14.2, -35.4, 111.32, -9.39, -2.66, 5.0, 1009.97, 31.805, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 16, 
0.6333, 1.7645, 9.7441, 0.0171, -0.0117, 0.0522, 15.0442, -22.5, -14.2, -35.4, 111.32, -9.39, -2.66, 5.0, 1009.97, 31.805, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 66, 
0.7345, 1.9835, 9.6004, 0.0171, -0.0117, 0.0522, 15.0442, -22.5, -14.2, -35.4, 111.32, -9.39, -2.66, 5.0, 1009.97, 31.805, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 129, 
0.7345, 1.9835, 9.6004, 0.0437, -0.0245, -0.0075, 19.7001, -23.3, -13.5, -34.9, 111.32, -9.39, -2.66, 5.0, 1009.97, 31.574, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 227, 
0.7538, 1.8488, 9.6883, 0.0437, -0.0245, -0.0075, 19.7001, -23.3, -13.5, -34.9, 111.32, -9.39, -2.66, 5.0, 1009.97, 31.574, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 278, 
0.7538, 1.8488, 9.6883, -0.0128, 0.0821, -0.0053, 19.7001, -23.3, -13.5, -34.9, 111.32, -9.39, -2.66, 5.0, 1009.97, 31.574, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 348, 
0.6987, 1.884, 73.3955, -0.0128, 0.0821, -0.0053, 19.7001, -22.4, -14.0, -35.6, 109.96, -10.1, -3.12, 5.0, 1009.97, 31.574, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 421, 
0.6987, 1.884, 9.4403, -0.0107, -0.0522, -0.0203, 19.7001, -22.4, -14.0, -35.6, 109.96, -10.1, -3.12, 5.0, 1009.97, 31.574, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 476, 
0.6164, 1.8262, 9.438, -0.0107, -0.0522, -0.0203, 19.7001, -22.4, -14.0, -35.6, 109.96, -10.1, -3.12, 5.0, 1009.97, 31.562, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 544, 
0.6164, 1.8262, 9.438, -0.145, 0.0245, 0.0011, 19.7001, -22.5, -13.5, -35.7, 109.96, -10.1, -3.12, 5.0, 1009.97, 31.562, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 622, 
0.6827, 1.672, 9.8146, -0.145, 0.0245, 0.0011, 19.7001, -22.5, -13.5, -35.7, 109.96, -10.1, -3.12, 5.0, 1009.97, 31.562, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 680, 
0.6827, 1.672, 9.8146, -0.0192, 0.0533, -0.0469, 19.7001, -22.5, -13.5, -35.7, 109.96, -10.1, -3.12, 5.0, 1009.97, 31.562, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 731, 
0.6827, 1.672, 9.8146, -0.0192, 0.0533, -0.0469, 19.7001, -22.5, -13.5, -35.7, 109.96, -10.1, -3.12, 5.0, 1009.97, 31.562, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 781, 
0.538, 1.6901, 9.6667, -0.0192, 0.0533, -0.0469, 19.7001, -22.5, -13.4, -35.9, 108.9, -9.25, -3.07, 5.0, 1009.88, 31.562, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 845, 
0.538, 1.6901, 9.6667, -0.0032, 0.0139, -0.033, 19.7001, -22.5, -13.4, -35.9, 108.9, -9.25, -3.07, 5.0, 1009.88, 31.933, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 897, 
0.4435, 1.6991, 9.7208, -0.0032, 0.0139, -0.033, 19.7001, -22.5, -13.4, -35.9, 108.9, -9.25, -3.07, 5.0, 1009.88, 31.933, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 971, 
0.4435, 1.6991, 9.7208, -0.0597, -0.0043, -0.0181, 19.7001, -21.9, -13.6, -35.6, 108.9, -9.25, -3.07, 5.0, 1009.88, 31.933, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1048, 
0.5366, 1.7991, 9.7346, -0.0597, -0.0043, -0.0181, 19.7001, -21.9, -13.6, -35.6, 108.9, -9.25, -3.07, 5.0, 1009.88, 31.933, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1104, 
0.5366, 1.7991, 9.7346, 0.7045, -0.0096, 0.097, 19.7001, -21.9, -13.6, -35.6, 108.9, -9.25, -3.07, 5.0, 1009.88, 31.933, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1169, 
0.7691, 1.6777, 8.743, 0.7045, -0.0096, 0.097, 19.7001, -23.4, -14.2, -34.3, 109.81, -9.92, -2.35, 5.0, 1009.88, 32.031, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1237, 
0.7691, 1.6777, 8.743, 0.211, 0.3485, -0.1013, 19.7001, -23.4, -14.2, -34.3, 109.81, -9.92, -2.35, 5.0, 1009.88, 32.031, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1291, 
0.7691, 1.6777, 8.743, 0.211, 0.3485, -0.1013, 19.7001, -23.4, -14.2, -34.3, 109.81, -9.92, -2.35, 5.0, 1009.88, 32.031, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1341, 
0.5384, 2.2015, 9.0364, 0.211, 0.3485, -0.1013, 19.7001, -23.4, -14.2, -34.3, 109.81, -9.92, -2.35, 5.0, 1009.88, 32.031, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1392, 
0.5384, 2.2015, 9.0364, -0.6001, 0.2697, 0.372, 19.7001, -23.9, -13.3, -34.2, 109.81, -9.92, -2.35, 5.0, 1009.88, 32.031, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1472, 
1.1026, 1.7702, 9.5885, -0.6001, 0.2697, 0.372, 14.5243, -23.9, -13.3, -34.2, 109.81, -9.92, -2.35, 5.0, 1009.88, 32.031, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1545, 
1.1026, 1.7702, 9.5885, 0.4242, 0.3507, 0.1514, 14.5243, -23.9, -13.3, -34.2, 109.81, -9.92, -2.35, 5.0, 1009.88, 33.012, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1595, 
1.1026, 1.7702, 9.5885, 0.4242, 0.3507, 0.1514, 14.5243, -22.1, -13.6, -35.4, 111.63, -9.71, -4.41, 5.0, 1009.88, 33.012, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1662, 
0.4592, 1.9326, 9.4873, -0.2377, 0.0362, 0.016, 14.5243, -22.1, -13.6, -35.4, 111.63, -9.71, -4.41, 5.0, 1009.88, 33.012, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1742, 
0.4592, 1.9326, 9.4873, -0.2377, 0.0362, 0.016, 13.859, -22.1, -13.6, -35.4, 111.63, -9.71, -4.41, 5.0, 1009.88, 33.012, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1792, 
0.4592, 1.9326, 9.4873, -0.2377, 0.0362, 0.016, 13.859, -22.1, -13.6, -35.4, 111.63, -9.71, -4.41, 5.0, 1009.88, 33.012, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1842, 
0.5476, 1.9558, 9.2159, -0.0234, -0.2441, 0.21, 13.859, -22.8, -12.7, -34.6, 111.63, -9.71, -4.41, 5.0, 1009.88, 33.012, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1893, 
0.5476, 1.9558, 9.2159, -0.0234, -0.2441, 0.21, 13.859, -22.8, -12.7, -34.6, 111.63, -9.71, -4.41, 5.0, 1009.88, 33.591, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 1943, 
0.911, 1.4701, 9.5407, -0.2142, -0.2537, 0.3016, 13.5378, -22.8, -12.7, -34.6, 111.63, -9.71, -4.41, 5.0, 1009.88, 33.591, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2000, 
0.911, 1.4701, 9.5407, -0.2142, -0.2537, 0.3016, 13.5378, -22.8, -12.7, -34.6, 111.63, -9.71, -4.41, 5.0, 1009.88, 33.591, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2050, 
0.911, 1.4701, 9.5407, -0.2142, -0.2537, 0.3016, 13.5378, -26.5, -9.5, -32.0, 98.82, -9.03, -6.85, 5.0, 1009.88, 33.591, 37.96732, -122.28161, ?, ?, 25.0, 77.0, 97.0, 4.086, 2100, 
